"peak","n_folds_recovered"
"chr16:30075725-30076225",4
"chr16:3023378-3023878",0
"chr16:30355086-30355586",2
"chr16:30395472-30395972",0
"chr16:30400202-30400702",3
"chr16:30534169-30534669",1
"chr16:30561191-30561691",0
"chr16:30649626-30650126",1
"chr16:30699346-30699846",4
"chr16:30896915-30897415",1
"chr16:30956577-30957077",1
"chr16:31032598-31033098",3
"chr16:31108091-31108591",3
"chr16:31118166-31118666",0
"chr16:31176523-31177023",0
"chr16:31177127-31177627",3
"chr16:31181143-31181643",4
"chr16:31181959-31182459",2
"chr16:31183360-31183860",0
"chr16:31184967-31185467",3
"chr16:31186871-31187371",1
"chr16:31187893-31188393",0
"chr16:31188413-31188913",3
"chr16:31202724-31203224",0
"chr16:31442930-31443430",0
"chr16:31458017-31458517",2
"chr16:3152634-3153134",3
"chr16:3156945-3157445",2
"chr16:3159669-3160169",1
"chr16:3183134-3183634",1
"chr16:31859318-31859818",0
"chr16:31873521-31874021",1
"chr16:31874470-31874970",2
"chr16:31877416-31877916",2
"chr16:3263520-3264020",1
"chr16:3282393-3282893",1
"chr16:3283666-3284166",1
"chr16:338077-338577",0
"chr16:3610831-3611331",2
"chr16:3611358-3611858",0
"chr16:3716752-3717252",1
"chr16:3818513-3819013",0
"chr16:382591-383091",0
"chr16:4115597-4116097",1
"chr16:4272773-4273273",4
"chr16:4306917-4307417",4
"chr16:4308107-4308607",4
"chr16:4371550-4372050",0
"chr16:4625139-4625639",3
"chr16:4692797-4693297",1
"chr16:4734013-4734513",3
"chr16:48284952-48285452",0
"chr16:4847743-4848243",1
"chr16:50025536-50026036",3
"chr16:50335103-50335603",4
"chr16:50338898-50339398",2
"chr16:50548709-50549209",2
"chr16:50665294-50665794",3
"chr16:527890-528390",0
"chr16:56190450-56190950",2
"chr16:56675777-56676277",0
"chr16:56932558-56933058",1
"chr16:57536911-57537411",2
"chr16:57590564-57591064",0
"chr16:57802243-57802743",4
"chr16:58025481-58025981",0
"chr16:588014-588514",1
"chr16:660745-661245",3
"chr16:66867748-66868248",1
"chr16:66948175-66948675",0
"chr16:67528554-67529054",4
"chr16:67872802-67873302",0
"chr16:68005789-68006289",4
"chr16:68264944-68265444",0
"chr16:68328549-68329049",2
"chr16:684142-684642",1
"chr16:69187472-69187972",2
"chr16:70252505-70253005",0
"chr16:714787-715287",2
"chr16:71722963-71723463",0
"chr16:719595-720095",3
"chr16:740804-741304",4
"chr16:74367176-74367676",1
"chr16:74695774-74696274",3
"chr16:785531-786031",1
"chr16:78790499-78790999",1
"chr16:79278456-79278956",3
"chr16:80518371-80518871",0
"chr16:81519473-81519973",0
"chr16:81578097-81578597",3
"chr16:81729957-81730457",3
"chr16:82192649-82193149",1
"chr16:84606367-84606867",1
"chr16:85027413-85027913",3
"chr16:85518971-85519471",3
"chr16:85519507-85520007",4
"chr16:85555709-85556209",4
"chr16:85564379-85564879",2
"chr16:85612870-85613370",2
"chr16:85688185-85688685",2
"chr16:8621418-8621918",0
"chr16:87392543-87393043",0
"chr16:87754484-87754984",0
"chr16:87769125-87769625",1
"chr16:87777769-87778269",0
"chr16:87854253-87854753",0
"chr16:88535193-88535693",0
"chr16:8867652-8868152",0
"chr16:88706197-88706697",3
"chr16:88782381-88782881",2
"chr16:88783283-88783783",1
"chr16:88784354-88784854",2
"chr16:89217428-89217928",2
"chr16:89362235-89362735",0
"chr16:89423310-89423810",0
"chr16:89485980-89486480",0
"chr16:89491448-89491948",1
"chr16:89559719-89560219",1
"chr16:8958372-8958872",0
"chr16:89586877-89587377",3
"chr16:89616483-89616983",1
"chr16:89761855-89762355",0
"chr16:89922998-89923498",2
"chr16:89995578-89996078",4
"chr16:9082379-9082879",1
"chr16:9090320-9090820",0
"chr16:981406-981906",2
"chr17:10046734-10047234",0
"chr17:10696561-10697061",1
"chr17:1179704-1180204",1
"chr17:1259019-1259519",3
"chr17:1400011-1400511",1
"chr17:1485789-1486289",3
"chr17:1487866-1488366",2
"chr17:1490319-1490819",0
"chr17:1627839-1628339",0
"chr17:16386565-16387065",1
"chr17:1643137-1643637",4
"chr17:1648256-1648756",0
"chr17:16653611-16654111",0
"chr17:16689951-16690451",1
"chr17:17206873-17207373",3
"chr17:17237439-17237939",1
"chr17:17495542-17496042",0
"chr17:17693922-17694422",2
"chr17:17782104-17782604",0
"chr17:17783124-17783624",2
"chr17:17812145-17812645",0
"chr17:18184552-18185052",1
"chr17:18257943-18258443",0
"chr17:18314103-18314603",1
"chr17:18697748-18698248",2
"chr17:19447000-19447500",1
"chr17:19648449-19648949",0
"chr17:2049381-2049881",4
"chr17:21042041-21042541",1
"chr17:21286859-21287359",2
"chr17:2222953-2223453",1
"chr17:2282192-2282692",1
"chr17:2594878-2595378",0
"chr17:29283432-29283932",0
"chr17:29292818-29293318",2
"chr17:29613324-29613824",0
"chr17:29931267-29931767",1
"chr17:30117202-30117702",0
"chr17:30697823-30698323",1
"chr17:30709938-30710438",2
"chr17:30971031-30971531",1
"chr17:31094572-31095072",3
"chr17:31313261-31313761",1
"chr17:31549139-31549639",0
"chr17:31558914-31559414",0
"chr17:31858498-31858998",1
"chr17:32007076-32007576",1
"chr17:32007643-32008143",4
"chr17:32876455-32876955",3
"chr17:34961250-34961750",3
"chr17:35289173-35289673",2
"chr17:35568455-35568955",2
"chr17:35578979-35579479",0
"chr17:35877647-35878147",3
"chr17:35878201-35878701",3
"chr17:36085660-36086160",0
"chr17:36183544-36184044",3
"chr17:36187773-36188273",2
"chr17:36196124-36196624",2
"chr17:3636738-3637238",1
"chr17:36601292-36601792",2
"chr17:3667783-3668283",1
"chr17:37089937-37090437",1
"chr17:38296725-38297225",0
"chr17:385978-386478",0
"chr17:38673311-38673811",1
"chr17:38700802-38701302",3
"chr17:38735032-38735532",3
"chr17:38750668-38751168",1
"chr17:38751618-38752118",1
"chr17:39197460-39197960",4
"chr17:39200447-39200947",1
"chr17:39402390-39402890",1
"chr17:39451065-39451565",1
"chr17:39617607-39618107",0
"chr17:39753711-39754211",0
"chr17:39772345-39772845",3
"chr17:39852120-39852620",0
"chr17:39867892-39868392",3
"chr17:4004548-4005048",0
"chr17:40062604-40063104",2
"chr17:40122406-40122906",2
"chr17:40219002-40219502",1
"chr17:40322249-40322749",1
"chr17:40322770-40323270",1
"chr17:40399068-40399568",1
"chr17:40540962-40541462",0
"chr17:40619846-40620346",2
"chr17:411594-412094",2
"chr17:41690999-41691499",1
"chr17:41691892-41692392",1
"chr17:41801520-41802020",0
"chr17:41965715-41966215",2
"chr17:42107630-42108130",0
"chr17:42116642-42117142",1
"chr17:42180447-42180947",0
"chr17:42378973-42379473",0
"chr17:42387567-42388067",2
"chr17:42405971-42406471",0
"chr17:42458584-42459084",1
"chr17:42535966-42536466",1
"chr17:42679100-42679600",2
"chr17:42773173-42773673",0
"chr17:42964208-42964708",3
"chr17:43007018-43007518",2
"chr17:43369199-43369699",2
"chr17:43760318-43760818",1
"chr17:43778179-43778679",3
"chr17:4403173-4403673",0
"chr17:44142180-44142680",2
"chr17:44325993-44326493",3
"chr17:44344990-44345490",1
"chr17:44354473-44354973",2
"chr17:44385236-44385736",1
"chr17:4498575-4499075",2
"chr17:45019141-45019641",1
"chr17:45021869-45022369",0
"chr17:45060228-45060728",2
"chr17:45131765-45132265",3
"chr17:45218829-45219329",1
"chr17:45235594-45236094",1
"chr17:45431432-45431932",1
"chr17:45491309-45491809",1
"chr17:4710739-4711239",2
"chr17:4739562-4740062",2
"chr17:47675287-47675787",0
"chr17:47699586-47700086",2
"chr17:47718620-47719120",2
"chr17:47732270-47732770",2
"chr17:47740469-47740969",0
"chr17:47831327-47831827",0
"chr17:4790211-4790711",0
"chr17:47949182-47949682",1
"chr17:4833636-4834136",1
"chr17:48351770-48352270",0
"chr17:48442777-48443277",1
"chr17:48541574-48542074",0
"chr17:48578188-48578688",4
"chr17:48578739-48579239",0
"chr17:48592428-48592928",0
"chr17:48593793-48594293",3
"chr17:48610106-48610606",4
"chr17:48618481-48618981",3
"chr17:48636379-48636879",1
"chr17:48647444-48647944",3
"chr17:49180250-49180750",2
"chr17:49214692-49215192",3
"chr17:49496328-49496828",1
"chr17:4949864-4950364",3
"chr17:4968189-4968689",0
"chr17:49851334-49851834",3
"chr17:4987397-4987897",3
"chr17:4997982-4998482",4
"chr17:50161379-50161879",1
"chr17:50169198-50169698",1
"chr17:50273058-50273558",1
"chr17:50425918-50426418",2
"chr17:50852034-50852534",0
"chr17:50919591-50920091",0
"chr17:5111622-5112122",3
"chr17:5282017-5282517",2
"chr17:5420089-5420589",0
"chr17:5467852-5468352",2
"chr17:55090135-55090635",3
"chr17:56908191-56908691",1
"chr17:58006202-58006702",0
"chr17:58353461-58353961",0
"chr17:58514399-58514899",2
"chr17:58631136-58631636",1
"chr17:59155822-59156322",0
"chr17:59825430-59825930",2
"chr17:59842367-59842867",3
"chr17:62477890-62478390",0
"chr17:63550547-63551047",2
"chr17:63551070-63551570",1
"chr17:64014861-64015361",1
"chr17:64051070-64051570",1
"chr17:64146392-64146892",4
"chr17:64504741-64505241",4
"chr17:64661178-64661678",2
"chr17:64847761-64848261",0
"chr17:64927501-64928001",0
"chr17:64974290-64974790",3
"chr17:65039571-65040071",0
"chr17:65100483-65100983",0
"chr17:65137064-65137564",2
"chr17:65173352-65173852",1
"chr17:6651378-6651878",3
"chr17:6651900-6652400",4
"chr17:6753134-6753634",3
"chr17:68085609-68086109",0
"chr17:68101292-68101792",2
"chr17:6831462-6831962",4
"chr17:6831966-6832466",1
"chr17:68512951-68513451",1
"chr17:6938505-6939005",0
"chr17:7021897-7022397",2
"chr17:7042153-7042653",3
"chr17:7042804-7043304",4
"chr17:7043376-7043876",2
"chr17:7177348-7177848",2
"chr17:7238958-7239458",1
"chr17:7281337-7281837",3
"chr17:7294532-7295032",4
"chr17:7296308-7296808",1
"chr17:7315157-7315657",3
"chr17:73192095-73192595",3
"chr17:73310878-73311378",3
"chr17:73311851-73312351",1
"chr17:73429327-73429827",0
"chr17:7405168-7405668",2
"chr17:74326575-74327075",0
"chr17:74380045-74380545",0
"chr17:74514061-74514561",2
"chr17:74749680-74750180",3
"chr17:74776141-74776641",2
"chr17:74791384-74791884",0
"chr17:7486171-7486671",2
"chr17:74873427-74873927",3
"chr17:7488106-7488606",1
"chr17:75034836-75035336",1
"chr17:75109679-75110179",2
"chr17:75113981-75114481",3
"chr17:75181793-75182293",3
"chr17:75260848-75261348",1
"chr17:75404082-75404582",0
"chr17:7548758-7549258",1
"chr17:75518147-75518647",0
"chr17:7560894-7561394",4
"chr17:75779051-75779551",4
"chr17:75827496-75827996",1
"chr17:75827999-75828499",0
"chr17:75895679-75896179",0
"chr17:76239591-76240091",0
"chr17:76268170-76268670",3
"chr17:76353080-76353580",1
"chr17:76492961-76493461",2
"chr17:76523039-76523539",1
"chr17:77086430-77086930",2
"chr17:77141206-77141706",1
"chr17:77280989-77281489",4
"chr17:77356083-77356583",2
"chr17:77372402-77372902",1
"chr17:77484009-77484509",3
"chr17:77494868-77495368",1
"chr17:77958955-77959455",1
"chr17:78132312-78132812",1
"chr17:78139638-78140138",1
"chr17:782058-782558",3
"chr17:7835877-7836377",1
"chr17:78378383-78378883",3
"chr17:7842469-7842969",3
"chr17:78438246-78438746",0
"chr17:78474494-78474994",1
"chr17:7862577-7863077",3
"chr17:78781396-78781896",1
"chr17:7884532-7885032",2
"chr17:7886213-7886713",2
"chr17:79009026-79009526",3
"chr17:79009551-79010051",2
"chr17:79727997-79728497",0
"chr17:79777851-79778351",0
"chr17:79789781-79790281",2
"chr17:79797531-79798031",2
"chr17:79810022-79810522",4
"chr17:79814546-79815046",0
"chr17:79834874-79835374",2
"chr17:79837929-79838429",1
"chr17:79843189-79843689",3
"chr17:80008341-80008841",2
"chr17:80036357-80036857",0
"chr17:80146354-80146854",4
"chr17:80414884-80415384",4
"chr17:80415519-80416019",0
"chr17:80761262-80761762",0
"chr17:8079856-8080356",2
"chr17:80981233-80981733",0
"chr17:81035488-81035988",1
"chr17:81119497-81119997",4
"chr17:81142642-81143142",0
"chr17:81253281-81253781",2
"chr17:81424854-81425354",1
"chr17:81481292-81481792",3
"chr17:81487792-81488292",3
"chr17:8151102-8151602",0
"chr17:81511354-81511854",2
"chr17:81513740-81514240",4
"chr17:81514628-81515128",3
"chr17:8154074-8154574",1
"chr17:8165162-8165662",0
"chr17:81675758-81676258",2
"chr17:8186065-8186565",2
"chr17:81871129-81871629",1
"chr17:81891974-81892474",1
"chr17:81917928-81918428",3
"chr17:81927551-81928051",4
"chr17:81928541-81929041",1
"chr17:81976748-81977248",1
"chr17:81977279-81977779",1
"chr17:81977899-81978399",4
"chr17:82036724-82037224",2
"chr17:82051613-82052113",2
"chr17:82097507-82098007",2
"chr17:82213411-82213911",2
"chr17:82273486-82273986",0
"chr17:82297307-82297807",2
"chr17:82448661-82449161",1
"chr17:82459070-82459570",0
"chr17:8248459-8248959",3
"chr17:82497696-82498196",1
"chr17:82716887-82717387",3
"chr17:82864446-82864946",0
"chr17:83052198-83052698",1
"chr17:83103590-83104090",3
"chr17:83124307-83124807",1
"chr17:83124975-83125475",0
"chr17:8436514-8437014",3
"chr17:8941392-8941892",0
"chr17:8965506-8966006",3
"chr18:21741622-21742122",0
"chr18:22168229-22168729",0
"chr18:2883298-2883798",3
"chr18:2907443-2907943",1
"chr18:2962996-2963496",1
"chr18:31722319-31722819",2
"chr18:31741079-31741579",1
"chr18:32019516-32020016",2
"chr18:32040875-32041375",1
"chr18:3245409-3245909",1
"chr18:3451055-3451555",2
"chr18:3593171-3593671",1
"chr18:42028182-42028682",1
"chr18:44805595-44806095",0
"chr18:45106232-45106732",0
"chr18:45774095-45774595",1
"chr18:48909634-48910134",1
"chr18:55381208-55381708",0
"chr18:57586512-57587012",0
"chr18:58687831-58688331",1
"chr18:59818709-59819209",2
"chr18:61551459-61551959",0
"chr18:62420574-62421074",1
"chr18:62586113-62586613",0
"chr18:63788398-63788898",1
"chr18:67516624-67517124",3
"chr18:70433813-70434313",2
"chr18:74494153-74494653",0
"chr18:75025286-75025786",0
"chr18:75029424-75029924",0
"chr18:75211833-75212333",0
"chr18:76721156-76721656",3
"chr18:77071023-77071523",0
"chr18:77099058-77099558",1
"chr18:77101898-77102398",4
"chr18:79394770-79395270",1
"chr18:79523659-79524159",1
"chr18:80108154-80108654",2
"chr19:10000155-10000655",0
"chr19:10102414-10102914",3
"chr19:10105479-10105979",4
"chr19:10112203-10112703",0
"chr19:10250039-10250539",1
"chr19:1026303-1026803",0
"chr19:10315733-10316233",4
"chr19:10332657-10333157",4
"chr19:1037979-1038479",0
"chr19:10508582-10509082",0
"chr19:10522625-10523125",3
"chr19:10572255-10572755",3
"chr19:10603214-10603714",0
"chr19:1063091-1063591",2
"chr19:10644685-10645185",1
"chr19:10655616-10656116",1
"chr19:10701194-10701694",2
"chr19:10730748-10731248",0
"chr19:10864331-10864831",1
"chr19:10871588-10872088",1
"chr19:10879077-10879577",4
"chr19:10961189-10961689",1
"chr19:11091488-11091988",4
"chr19:11092096-11092596",3
"chr19:11381770-11382270",3
"chr19:11382697-11383197",1
"chr19:11434647-11435147",1
"chr19:11639478-11639978",2
"chr19:11798240-11798740",2
"chr19:1194397-1194897",4
"chr19:11987337-11987837",2
"chr19:12365488-12365988",0
"chr19:1240154-1240654",4
"chr19:1248868-1249368",2
"chr19:12564007-12564507",0
"chr19:1260210-1260710",1
"chr19:1265682-1266182",1
"chr19:1266366-1266866",0
"chr19:12669200-12669700",4
"chr19:1268382-1268882",3
"chr19:12696421-12696921",4
"chr19:1269655-1270155",2
"chr19:12722458-12722958",2
"chr19:12723063-12723563",1
"chr19:1274706-1275206",2
"chr19:1276017-1276517",4
"chr19:12777507-12778007",4
"chr19:12778246-12778746",2
"chr19:12791864-12792364",3
"chr19:12796455-12796955",3
"chr19:12838178-12838678",2
"chr19:12933519-12934019",0
"chr19:12937562-12938062",3
"chr19:12938709-12939209",0
"chr19:12939726-12940226",1
"chr19:12944981-12945481",1
"chr19:12945545-12946045",0
"chr19:12965260-12965760",2
"chr19:12983456-12983956",4
"chr19:13099934-13100434",1
"chr19:13116508-13117008",2
"chr19:13149588-13150088",1
"chr19:13155909-13156409",3
"chr19:13156813-13157313",1
"chr19:13162766-13163266",3
"chr19:13194439-13194939",2
"chr19:1354641-1355141",3
"chr19:13764279-13764779",1
"chr19:13794346-13794846",1
"chr19:1382882-1383382",4
"chr19:1383630-1384130",0
"chr19:13839501-13840001",3
"chr19:13842689-13843189",4
"chr19:13847168-13847668",4
"chr19:13951442-13951942",2
"chr19:14006640-14007140",1
"chr19:1401318-1401818",0
"chr19:14058852-14059352",1
"chr19:14074990-14075490",1
"chr19:14248594-14249094",2
"chr19:14274761-14275261",1
"chr19:14363110-14363610",2
"chr19:14368017-14368517",3
"chr19:14369654-14370154",2
"chr19:1438091-1438591",3
"chr19:14381964-14382464",1
"chr19:14384178-14384678",3
"chr19:14385344-14385844",2
"chr19:14413442-14413942",1
"chr19:14431799-14432299",2
"chr19:14505348-14505848",2
"chr19:14506840-14507340",0
"chr19:14529808-14530308",1
"chr19:1455575-1456075",3
"chr19:1468791-1469291",0
"chr19:1489847-1490347",3
"chr19:1503387-1503887",1
"chr19:15223275-15223775",1
"chr19:15331091-15331591",1
"chr19:15331637-15332137",3
"chr19:15332340-15332840",2
"chr19:15379063-15379563",0
"chr19:15433105-15433605",2
"chr19:15449103-15449603",1
"chr19:1546115-1546615",4
"chr19:1568186-1568686",3
"chr19:1591888-1592388",1
"chr19:1592652-1593152",2
"chr19:16041456-16041956",3
"chr19:1605329-1605829",2
"chr19:1606075-1606575",3
"chr19:16076028-16076528",4
"chr19:16076645-16077145",2
"chr19:16077287-16077787",0
"chr19:16078712-16079212",2
"chr19:16079222-16079722",3
"chr19:16080076-16080576",0
"chr19:16198047-16198547",1
"chr19:16323362-16323862",2
"chr19:16325106-16325606",3
"chr19:16328273-16328773",4
"chr19:16331129-16331629",0
"chr19:16333218-16333718",1
"chr19:16368945-16369445",0
"chr19:16383185-16383685",0
"chr19:16542258-16542758",3
"chr19:16572246-16572746",2
"chr19:16587252-16587752",2
"chr19:16829111-16829611",3
"chr19:16896193-16896693",2
"chr19:17235500-17236000",2
"chr19:17405445-17405945",1
"chr19:17453356-17453856",2
"chr19:17574053-17574553",2
"chr19:17680030-17680530",0
"chr19:17703768-17704268",0
"chr19:17719220-17719720",1
"chr19:17932987-17933487",2
"chr19:17946258-17946758",3
"chr19:17948345-17948845",4
"chr19:17948858-17949358",0
"chr19:17950509-17951009",3
"chr19:18001444-18001944",1
"chr19:18008356-18008856",1
"chr19:18086769-18087269",3
"chr19:1811546-1812046",2
"chr19:18153505-18154005",4
"chr19:18251748-18252248",0
"chr19:18272370-18272870",4
"chr19:18274297-18274797",4
"chr19:18274821-18275321",3
"chr19:18276681-18277181",3
"chr19:18277384-18277884",2
"chr19:18278403-18278903",3
"chr19:18280710-18281210",2
"chr19:18290959-18291459",2
"chr19:18292056-18292556",4
"chr19:18340303-18340803",2
"chr19:1837531-1838031",1
"chr19:18410536-18411036",2
"chr19:18416232-18416732",3
"chr19:18416761-18417261",1
"chr19:18437030-18437530",2
"chr19:18437928-18438428",0
"chr19:18441702-18442202",4
"chr19:1847657-1848157",4
"chr19:1848514-1849014",0
"chr19:18594221-18594721",4
"chr19:1864638-1865138",0
"chr19:18831638-18832138",4
"chr19:18832179-18832679",0
"chr19:1884683-1885183",1
"chr19:1895283-1895783",2
"chr19:19033046-19033546",4
"chr19:19033623-19034123",4
"chr19:19065277-19065777",0
"chr19:19174972-19175472",3
"chr19:1929237-1929737",0
"chr19:19321097-19321597",3
"chr19:19360988-19361488",2
"chr19:1940501-1941001",4
"chr19:1941932-1942432",0
"chr19:19516484-19516984",0
"chr19:19732915-19733415",0
"chr19:2017272-2017772",0
"chr19:2034945-2035445",2
"chr19:20424117-20424617",1
"chr19:2042872-2043372",1
"chr19:2044428-2044928",3
"chr19:2049216-2049716",1
"chr19:2050441-2050941",4
"chr19:2051056-2051556",1
"chr19:2069634-2070134",1
"chr19:2095143-2095643",1
"chr19:2155923-2156423",0
"chr19:2235486-2235986",4
"chr19:2236148-2236648",0
"chr19:2236813-2237313",4
"chr19:2250365-2250865",0
"chr19:2270029-2270529",3
"chr19:2275746-2276246",1
"chr19:2276294-2276794",1
"chr19:2328357-2328857",3
"chr19:2335256-2335756",2
"chr19:23394410-23394910",0
"chr19:2461966-2462466",3
"chr19:2475114-2475614",3
"chr19:2475781-2476281",3
"chr19:2476709-2477209",4
"chr19:2477238-2477738",1
"chr19:2478157-2478657",3
"chr19:2478966-2479466",4
"chr19:2494739-2495239",4
"chr19:2495283-2495783",4
"chr19:2598939-2599439",4
"chr19:2599588-2600088",3
"chr19:2611112-2611612",3
"chr19:2636910-2637410",1
"chr19:2782474-2782974",0
"chr19:2841737-2842237",3
"chr19:29715956-29716456",0
"chr19:29873417-29873917",2
"chr19:3035472-3035972",0
"chr19:3036058-3036558",4
"chr19:3179090-3179590",1
"chr19:3186301-3186801",0
"chr19:3210623-3211123",1
"chr19:3224365-3224865",4
"chr19:32498592-32499092",1
"chr19:32692155-32692655",0
"chr19:33080909-33081409",1
"chr19:34254928-34255428",3
"chr19:34772278-34772778",0
"chr19:34999448-34999948",4
"chr19:3506630-3507130",0
"chr19:35143402-35143902",0
"chr19:35155471-35155971",2
"chr19:3545001-3545501",1
"chr19:35557677-35558177",0
"chr19:3556836-3557336",4
"chr19:35629228-35629728",1
"chr19:35898806-35899306",4
"chr19:35899584-35900084",2
"chr19:35900355-35900855",3
"chr19:36055032-36055532",3
"chr19:36140980-36141480",2
"chr19:3618466-3618966",2
"chr19:36488720-36489220",1
"chr19:36573511-36574011",4
"chr19:36687234-36687734",2
"chr19:36773173-36773673",2
"chr19:3699795-3700295",2
"chr19:3705979-3706479",3
"chr19:37594562-37595062",1
"chr19:37906328-37906828",0
"chr19:38214053-38214553",1
"chr19:38315289-38315789",3
"chr19:38319663-38320163",2
"chr19:38362391-38362891",1
"chr19:38388052-38388552",1
"chr19:38557206-38557706",0
"chr19:38735960-38736460",3
"chr19:38852473-38852973",4
"chr19:38864250-38864750",2
"chr19:38865468-38865968",4
"chr19:38869115-38869615",3
"chr19:38898677-38899177",2
"chr19:38931108-38931608",2
"chr19:39031433-39031933",1
"chr19:39052177-39052677",0
"chr19:39320641-39321141",2
"chr19:39403738-39404238",4
"chr19:39407422-39407922",2
"chr19:39408626-39409126",2
"chr19:39413134-39413634",4
"chr19:39474085-39474585",0
"chr19:39539291-39539791",3
"chr19:39539985-39540485",2
"chr19:39792903-39793403",1
"chr19:3984603-3985103",1
"chr19:3985244-3985744",3
"chr19:3990108-3990608",0
"chr19:40190739-40191239",0
"chr19:40191381-40191881",4
"chr19:40218110-40218610",1
"chr19:40285789-40286289",1
"chr19:40347732-40348232",2
"chr19:40422761-40423261",2
"chr19:40466782-40467282",4
"chr19:40529043-40529543",1
"chr19:40530203-40530703",4
"chr19:40598533-40599033",2
"chr19:40601019-40601519",1
"chr19:40613103-40613603",4
"chr19:40690523-40691023",0
"chr19:40714878-40715378",1
"chr19:40715445-40715945",3
"chr19:40715946-40716446",3
"chr19:40752413-40752913",1
"chr19:40754827-40755327",3
"chr19:40776824-40777324",2
"chr19:41119445-41119945",0
"chr19:41261473-41261973",2
"chr19:41298195-41298695",1
"chr19:41306901-41307401",1
"chr19:41310442-41310942",2
"chr19:41320651-41321151",0
"chr19:41353120-41353620",3
"chr19:41354427-41354927",0
"chr19:41376246-41376746",0
"chr19:41882885-41883385",1
"chr19:41928856-41929356",0
"chr19:41935812-41936312",0
"chr19:41951571-41952071",1
"chr19:41958390-41958890",0
"chr19:41998443-41998943",1
"chr19:42076276-42076776",2
"chr19:42133003-42133503",1
"chr19:42176221-42176721",0
"chr19:42199673-42200173",2
"chr19:42216396-42216896",1
"chr19:42216909-42217409",3
"chr19:42241983-42242483",0
"chr19:42250777-42251277",1
"chr19:42253385-42253885",2
"chr19:42279703-42280203",2
"chr19:42280801-42281301",3
"chr19:43619368-43619868",1
"chr19:43639632-43640132",3
"chr19:43755401-43755901",2
"chr19:43785246-43785746",1
"chr19:43827033-43827533",3
"chr19:43935068-43935568",2
"chr19:43950911-43951411",1
"chr19:44071854-44072354",2
"chr19:44141298-44141798",2
"chr19:4457675-4458175",2
"chr19:44747338-44747838",1
"chr19:44800393-44800893",0
"chr19:44951500-44952000",1
"chr19:44954505-44955005",1
"chr19:45075450-45075950",2
"chr19:45103021-45103521",1
"chr19:45187446-45187946",0
"chr19:45248577-45249077",3
"chr19:45251761-45252261",0
"chr19:45405815-45406315",1
"chr19:45424247-45424747",1
"chr19:45427536-45428036",4
"chr19:45440183-45440683",2
"chr19:45444159-45444659",3
"chr19:45455349-45455849",0
"chr19:45467460-45467960",4
"chr19:45468012-45468512",3
"chr19:45469595-45470095",0
"chr19:45470384-45470884",4
"chr19:45471300-45471800",4
"chr19:45471917-45472417",4
"chr19:45472673-45473173",4
"chr19:45473190-45473690",4
"chr19:45473895-45474395",4
"chr19:45474894-45475394",4
"chr19:45475412-45475912",3
"chr19:45476199-45476699",1
"chr19:45476909-45477409",4
"chr19:45477739-45478239",0
"chr19:45480852-45481352",1
"chr19:45493460-45493960",1
"chr19:45495557-45496057",0
"chr19:45508248-45508748",1
"chr19:45514901-45515401",1
"chr19:45515556-45516056",0
"chr19:45641974-45642474",1
"chr19:45669037-45669537",2
"chr19:45677348-45677848",2
"chr19:45691464-45691964",4
"chr19:45716539-45717039",1
"chr19:45768530-45769030",2
"chr19:45792045-45792545",3
"chr19:45862391-45862891",3
"chr19:45863978-45864478",2
"chr19:45902008-45902508",2
"chr19:45927599-45928099",1
"chr19:4597875-4598375",1
"chr19:46015759-46016259",0
"chr19:4636113-4636613",2
"chr19:46395474-46395974",2
"chr19:46529494-46529994",0
"chr19:46601352-46601852",0
"chr19:46638978-46639478",1
"chr19:46704416-46704916",0
"chr19:46757232-46757732",1
"chr19:46787923-46788423",3
"chr19:46850141-46850641",2
"chr19:46860656-46861156",3
"chr19:46991121-46991621",2
"chr19:47012891-47013391",1
"chr19:47079239-47079739",1
"chr19:47107277-47107777",1
"chr19:47113542-47114042",2
"chr19:47130629-47131129",2
"chr19:47157882-47158382",1
"chr19:47227030-47227530",0
"chr19:4723045-4723545",2
"chr19:47239527-47240027",2
"chr19:47275329-47275829",0
"chr19:47296074-47296574",1
"chr19:47391382-47391882",0
"chr19:47599743-47600243",0
"chr19:47607870-47608370",2
"chr19:47743485-47743985",2
"chr19:47745242-47745742",3
"chr19:47778936-47779436",1
"chr19:48266955-48267455",2
"chr19:48291170-48291670",1
"chr19:4831534-4832034",2
"chr19:48445688-48446188",3
"chr19:48469510-48470010",2
"chr19:48491106-48491606",3
"chr19:48511132-48511632",3
"chr19:48512211-48512711",1
"chr19:4851549-4852049",1
"chr19:48584188-48584688",1
"chr19:48618201-48618701",0
"chr19:48619636-48620136",1
"chr19:48660722-48661222",1
"chr19:48675298-48675798",0
"chr19:4867532-4868032",2
"chr19:48739230-48739730",0
"chr19:48810815-48811315",0
"chr19:48837018-48837518",1
"chr19:48874563-48875063",4
"chr19:48877830-48878330",1
"chr19:48933397-48933897",1
"chr19:48999677-49000177",0
"chr19:49057547-49058047",1
"chr19:4910956-4911456",1
"chr19:49441340-49441840",0
"chr19:49442658-49443158",3
"chr19:49453778-49454278",0
"chr19:49474588-49475088",0
"chr19:49487821-49488321",1
"chr19:49533289-49533789",3
"chr19:49554711-49555211",1
"chr19:49568072-49568572",4
"chr19:49568980-49569480",0
"chr19:49570079-49570579",3
"chr19:49808654-49809154",4
"chr19:49812850-49813350",4
"chr19:49867661-49868161",2
